pc,cn,hi,gi,year_range,label
2,0,0,0,2,1
4,7,1,1,8,1
14,155,4,11,11,1
2,0,0,0,1,1
16,78,5,5,12,1
1,0,0,0,1,1
1,0,0,0,1,1
19,16,3,3,7,1
2,0,0,0,2,1
6,52,4,6,3,1
1,2,1,1,1,1
34,1758,17,34,14,0
6,3,1,1,3,1
1,1,1,1,1,1
74,1155,19,19,15,0
1,20,1,1,1,1
1,0,0,0,1,1
10,118,3,10,12,1
8,14,3,3,10,1
4,0,0,0,4,1
6,3,1,1,5,1
97,489,9,9,38,0
2,12,1,2,1,1
1,0,0,0,1,1
1,0,0,0,1,1
10,87,4,8,8,1
22,127,7,7,12,0
29,119,7,7,32,0
81,276,10,10,20,0
24,1326,8,24,16,0
16,42,4,4,7,1
11,39,4,4,8,1
1,0,0,0,1,1
8,9,2,2,3,1
2,0,0,0,1,1
1,0,0,0,1,1
3,1,1,1,3,1
10,6,2,2,20,1
3,2,1,1,6,1
17,36,4,4,20,1
24,49,3,3,28,0
8,748,7,8,6,1
7,103,4,7,11,1
1,0,0,0,1,1
2,19,1,2,4,1
4,10,2,2,3,1
1,0,0,0,1,1
1,0,0,0,1,1
1,0,0,0,1,1
98,748,14,14,20,0
7,35,3,5,5,1
4,1,1,1,3,1
6,42,3,6,14,1
1,2,1,1,1,1
31,126,7,7,12,0
2,1,1,1,5,1
3,11,2,3,11,1
8,74,5,8,7,1
1,1,1,1,1,1
22,21,3,3,9,0
1,2,1,1,1,1
2,0,0,0,2,1
1,2,1,1,1,1
58,354,10,10,24,0
23,368,8,16,13,0
19,167,7,8,18,1
2,2,1,1,1,1
5,2,1,1,7,1
1,0,0,0,1,1
45,136,7,7,40,0
21,48,3,3,12,0
5,43,4,5,3,1
9,31,3,3,4,1
5,29,1,5,7,1
22,108,6,6,17,0
3,2,1,1,2,1
1,0,0,0,1,1
5,2,1,1,6,1
2,0,0,0,1,1
15,71,4,4,9,1
10,10,2,2,12,1
25,164,7,7,13,0
5,6,1,1,8,1
1,0,0,0,1,1
20,623,9,20,9,1
2,4,1,2,3,1
27,101,5,5,27,0
1,1,1,1,1,1
116,170,6,6,17,0
3,6,2,2,5,1
4,48,3,4,6,1
75,1593,18,21,18,0
1,0,0,0,1,1
1,2,1,1,1,1
2,1,1,1,1,1
31,77,5,5,14,0
1,0,0,0,1,1
5,2,1,1,4,1
36,93,6,6,14,0
2,1,1,1,1,1
1,3,1,1,1,1
2,0,0,0,1,1
1,4,1,1,1,1
6,53,3,6,5,1
1,0,0,0,1,1
17,41,3,3,9,1
3,1,1,1,2,1
6,20,2,3,8,1
7,13,2,2,8,1
4,10,2,2,7,1
1,0,0,0,1,1
1,6,1,1,1,1
8,18,3,3,9,1
3,0,0,0,2,1
10,58,3,5,16,1
5,6,1,1,3,1
1,0,0,0,1,1
1,2,1,1,1,1
6,84,3,6,5,1
57,386,11,11,22,0
20,59,5,5,12,1
10,34,3,3,8,1
3,1,1,1,3,1
2,6,1,2,1,1
1,46,1,1,1,1
3,6,2,2,5,1
14,193,6,13,15,1
1,2,1,1,1,1
1,0,0,0,1,1
52,69,5,5,11,0
2,1,1,1,2,1
5,11,2,2,7,1
1,0,0,0,1,1
1,2,1,1,1,1
1,10,1,1,1,1
4,9,1,2,4,1
1,16,1,1,1,1
2,5,0,2,3,1
1,0,0,0,1,1
5,15,2,3,5,1
8,14,3,3,5,1
16,26,2,2,10,1
65,264,9,9,35,0
17,57,5,5,5,1
13,16,2,2,7,1
4,0,0,0,3,1
15,125,7,8,10,1
2,0,0,0,1,1
2,4,1,2,1,1
30,22,3,3,17,0
1,0,0,0,1,1
4,0,0,0,3,1
6,1,1,1,7,1
1,10,1,1,1,1
63,315,8,8,27,0
8,186,5,8,15,1
1,10,1,1,1,1
4,1,1,1,16,1
1,13,1,1,1,1
1,2,1,1,1,1
2,1,1,1,1,1
2,1,1,1,1,1
1,2,1,1,1,1
39,340,8,8,18,0
9,24,2,2,14,1
2,14,0,2,1,1
1,3,1,1,1,1
1,0,0,0,1,1
6,0,0,0,5,1
10,5,2,2,17,1
1,6,1,1,1,1
1,0,0,0,1,1
23,17,2,2,9,0
8,49,3,6,11,1
26,107,5,5,23,0
79,356,12,12,17,0
1,1,1,1,1,1
14,1051,11,14,7,1
1,9,1,1,1,1
16,27,3,3,10,1
2,11,0,2,1,1
1,0,0,0,1,1
10,23,2,2,9,1
1,1,1,1,1,1
7,12,2,2,4,1
2,0,0,0,1,1
56,1744,17,31,15,0
1,0,0,0,1,1
5,1,1,1,9,1
89,599,14,14,22,0
2,0,0,0,1,1
1,0,0,0,1,1
5,6,2,2,1,1
1,0,0,0,1,1
28,32,3,3,9,0
94,558,11,11,15,0
2,3,1,1,1,1
1,0,0,0,1,1
1,0,0,0,1,1
10,2,1,1,24,1
23,62,4,4,7,1
3,1,1,1,1,1
19,55,4,4,12,1
57,6329,20,57,15,0
11,41,3,3,7,1
12,34,4,4,12,1
10,42,4,4,7,1
1,1,1,1,1,1
4,3,1,1,3,1
11,19,3,3,5,1
1,1,1,1,1,1
29,42,3,3,20,0
3,43,1,3,4,1
2,0,0,0,2,1
6,13,2,2,4,1
1,52,1,1,1,1
2,81,0,2,2,1
7,37,3,5,6,1
3,8,2,2,2,1
1,0,0,0,1,1
1,0,0,0,1,1
10,4,2,2,11,1
149,3716,34,34,23,0
4,13,2,3,2,1
2,0,0,0,3,1
7,6,1,1,15,1
1,0,0,0,1,1
28,54,4,4,10,0
1,1,1,1,1,1
20,90,5,5,9,1
5,33,2,5,3,1
18,13,2,2,7,1
8,26,3,3,1,1
2,4,1,2,3,1
1,0,0,0,1,1
2,2,1,1,2,1
35,210,9,9,23,0
80,366,10,10,22,0
3,0,0,0,4,1
15,64,4,4,8,1
1,0,0,0,1,1
2,0,0,0,1,1
7,20,3,3,6,1
21,50,4,4,14,0
10,141,6,10,20,1
26,120,5,5,14,0
2,8,0,2,1,1
2,0,0,0,1,1
64,306,9,9,28,0
2,5,1,2,3,1
15,30,3,3,6,1
1,0,0,0,1,1
3,2,1,1,2,1
8,13,3,3,11,1
1,0,0,0,1,1
1,0,0,0,1,1
1,0,0,0,1,1
7,130,4,7,6,1
2,21,1,2,1,1
1,0,0,0,1,1
4,2,1,1,2,1
12,18,3,3,2,1
1,0,0,0,1,1
4,8,1,2,3,1
18,320,9,17,7,1
1,17,1,1,1,1
14,27,3,3,8,1
15,27,3,3,8,1
2,1,1,1,2,1
2,7,1,2,1,1
3,1,1,1,4,1
10,25,3,3,8,1
8,4,2,2,8,1
2,2,1,1,2,1
1,5,1,1,1,1
17,6,2,2,18,1
1,2,1,1,1,1
6,12,2,2,11,1
2,4,1,2,1,1
5,42,4,5,4,1
15,30,4,4,5,1
1,0,0,0,1,1
5,4,2,2,5,1
6,1,1,1,13,1
1,0,0,0,1,1
2,0,0,0,1,1
3,3,1,1,3,1
1,0,0,0,1,1
1,1,1,1,1,1
1,0,0,0,1,1
1,0,0,0,1,1
1,0,0,0,1,1
19,204,8,10,8,1
1,0,0,0,1,1
1,0,0,0,1,1
27,322,10,11,14,0
24,44,4,4,6,1
44,451,8,10,19,0
5,5,2,2,3,1
22,216,5,9,14,0
52,127,5,5,13,0
29,58,4,4,11,0
76,557,12,12,15,0
11,124,3,11,11,1
40,600,10,15,20,0
27,65,5,5,8,1
17,47,4,4,7,1
49,702,13,14,11,0
1,0,0,0,1,1
1,61,1,1,1,1
19,37,4,4,5,1
2,0,0,0,3,1
4,4,1,1,23,1
1,2,1,1,1,1
8,80,5,8,6,1
4,1,1,1,4,1
4,12,2,3,4,1
120,1778,24,24,32,0
3,20,2,3,4,1
5,7,1,1,18,1
1,0,0,0,1,1
13,93,5,7,8,1
9,3,1,1,9,1
5,1,1,1,2,1
8,32,4,4,7,1
1,0,0,0,1,1
2,45,0,2,2,1
1,0,0,0,1,1
201,2293,24,24,22,0
1,1,1,1,1,1
27,32,3,3,27,0
1,1,1,1,1,1
1,0,0,0,1,1
1,0,0,0,1,1
2,0,0,0,2,1
2,3,1,1,1,1
21,15,3,3,29,0
3,2,1,1,4,1
1,0,0,0,1,1
1,1,1,1,1,1
2,1,1,1,2,1
2,3,1,1,2,1
4,13,2,3,4,1
5,2,1,1,5,1
30,93,6,6,14,0
3,1,1,1,4,1
5,90,4,5,11,1
2,1,1,1,1,1
5,9,1,1,2,1
6,5,1,1,2,1
77,95,5,5,10,0
2,1,1,1,1,1
26,161,7,7,18,0
3,0,0,0,5,1
3,1,1,1,7,1
3,11,2,3,10,1
1,0,0,0,1,1
1,0,0,0,1,1
1,0,0,0,1,1
2,0,0,0,1,1
3,1,1,1,2,1
1,0,0,0,1,1
86,540,11,11,14,0
1,1,1,1,1,1
1,0,0,0,1,1
1,1,1,1,1,1
52,143,6,6,24,0
44,21,2,2,10,0
2,14,1,2,2,1
4,12,3,3,5,1
44,116,6,6,16,0
31,1183,10,31,16,0
24,252,8,10,9,0
37,146,4,4,13,0
13,36,3,3,10,1
1,0,0,0,1,1
2,0,0,0,2,1
1,0,0,0,1,1
4,83,3,4,3,1
4,2,1,1,6,1
5,25,3,5,6,1
385,822,13,13,16,0
2,4,1,2,1,1
1,0,0,0,1,1
30,94,6,6,21,0
2,36,0,2,1,1
1,0,0,0,1,1
1,0,0,0,1,1
11,7,2,2,6,1
1,0,0,0,1,1
1,25,1,1,1,1
7,42,3,6,6,1
128,1058,17,17,22,0
14,28,2,2,14,1
22,149,5,6,26,0
1,2,1,1,1,1
1,5,1,1,1,1
5,7,1,1,5,1
4,7,1,1,3,1
1,2,1,1,1,1
11,41,4,4,5,1
1,3,1,1,1,1
10,70,5,7,7,1
3,7,1,2,3,1
1,2,1,1,1,1
1,4,1,1,1,1
1,2,1,1,1,1
1,1,1,1,1,1
15,13,2,2,7,1
1,2,1,1,1,1
1,19,1,1,1,1
23,355,11,15,26,0
14,28,4,4,7,1
11,21,3,3,15,1
2,0,0,0,1,1
2,0,0,0,3,1
1,0,0,0,1,1
1,0,0,0,1,1
10,70,4,7,7,1
3,18,2,3,9,1
1,0,0,0,1,1
13,42,3,3,7,1
6,68,3,6,3,1
2,0,0,0,2,1
15,180,7,12,12,1
126,708,16,16,31,0
1,0,0,0,1,1
